all_names,entity_type,notes
MISSION FARM R.V. PARK,water_system,
TUOLUMNE UTILITIES DISTRICT,water_system,
HMC GROUP COLD STORAGE,water_system,
RIVERVIEW WATER ASSOCIATION,water_system,
RANCHO CALIFORNIA WATER DISTRICT,water_system,
MOUNTAIN GATE C.S.D.,water_system,
SUNRISE VILLAGE MHP,water_system,
LIBERTY PARK WATER ASSOCIATION,water_system,
YULUPA MUTUAL WATER COMPANY,water_system,
TRAILS END MUTUAL WATER COMPANY,water_system,
CHANNEL ISLANDS BEACH CSD,water_system,
HORICON SCHOOL,water_system,
MONTEREY BAY ACADEMY,water_system,
RIVERSIDE CSA #122-MESA VERDE,water_system,
PONDEROSA CSD,water_system,
MULBERRY UNION SCHOOL,water_system,
SKY HIGH RANCH HOA,water_system,
BLYTHE - HIDDEN BEACHES,water_system,
EMERALD PINES CABINS,water_system,
SONOMA COUNTY PARKS-PUTNAM PARK,water_system,
SEBASTOPOL VINEYARDS,water_system,
BORJON WINERY,water_system,
CASTROVILLE COMMUNITY SERVICES DISTRICT,water_system,
BURNEY WATER DISTRICT,water_system,
WHITNEY PORTAL,water_system,
RIVER ONE RV PARK,water_system,
SWEETWATER AUTHORITY,water_system,
YOUNG-NAK PRESBYTERIAN CHURCH,water_system,
CRESTLINE VILLAGE CWD - DIVISION 10,water_system,
ALPINE WATER USERS ASSOCIATION,water_system,
"SHASTA CSA - CRAGVIEW, #23",water_system,
BELLA VISTA WATER DISTRICT,water_system,
SAC CITY MOBILE HOME COMMUNITY LP,water_system,
KINGS RIVER HARDWICK SCHOOL,water_system,
CEDAR LODGE MOTEL,water_system,
NORTH KERN GOLF COURSE,water_system,
EVERGREEN MOBILE ESTATES,water_system,
CAMP PENDLETON (NORTH),water_system,
PORTERVILLE - EAST PLANO,water_system,
SHADY OAKS MOBILE HOME PARK LLC,water_system,
MEADOWBROOK OAKS,water_system,
LAKE ELEMENTARY SCHOOL,water_system,
FOREST SPRINGS,water_system,
KLAMATH RIVER RV PARK,water_system,
LAKESIDE ELEMENTARY SCHOOL,water_system,
FIRESTONE BUSINESS PARK WS,water_system,
DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,water_system,
LERDO SHERIFF S FACILITY,water_system,
BROOKSIDE MOBILE HOME PARK,water_system,
HUGHES-ELIZABETH LAKE UNIFIED SCHOOL DIS,water_system,
CENTERVILLE SCHOOL,water_system,
MAIF - MARSHALL AQUA IMPROVEMENT FORUM,water_system,
ALVIEW SCHOOL,water_system,
KEOUGH'S HOT SPRINGS,water_system,
MIDGLEY'S COUNTRY FLEA MARKET,water_system,
FRITSCH INDUSTRIAL PARK,water_system,
IVCSD-GREENVILLE,water_system,
TERRACE VIEW WATER SYSTEM,water_system,
RICHVALE ELEMENTARY SCHOOL,water_system,
"ANDY'S PRODUCE MARKET, INC.",water_system,
CLOVERLEAF RANCH SUMMER CAMP,water_system,
LA VINA SCHOOL,water_system,
SPRING VALLEY SCHOOL,water_system,
HANFORD CHRISTIAN SCHOOL,water_system,
