all_names,entity_type,notes
North San Joaquin Water Conservation District GSA|North San Joaquin Water Conservation District,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
Northwestern Delta-Mendota GSA|Northwestern Delta-Mendota,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Oakdale Irrigation District GSA|Oakdale Irrigation District,gsa,SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN
Ojai Basin Groundwater Management Agency GSA|Ojai Basin Groundwater Management Agency,gsa,OJAI VALLEY
Olcese Water District GSA|Olcese Water District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Omochumne-Hartnell Water District GSA|Omochumne-Hartnell Water District|Omochumne-Hartnell Water District GSA - Cosumnes|Omochumne-Hartnell Water District GSA - South American,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN; SAN JOAQUIN VALLEY - COSUMNES
Oro Loma Water District GSA|Oro Loma Water District,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Owens Valley Groundwater Authority GSA|Owens Valley Groundwater Authority|Owens Valley Groundwater Authority GSA - Fish Slough|Owens Valley Groundwater Authority GSA - Owens Valley,gsa,OWENS VALLEY - FISH SLOUGH; OWENS VALLEY - OWENS VALLEY
Pajaro Valley Water Management Agency GSA|Pajaro Valley Water Management Agency,gsa,CORRALITOS - PAJARO VALLEY
Patterson Irrigation District GSA|Patterson Irrigation District,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
Petaluma Valley GSA|Petaluma Valley,gsa,PETALUMA VALLEY
Pioneer GSA|Pioneer,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Pixley Irrigation District GSA|Pixley Irrigation District,gsa,SAN JOAQUIN VALLEY - TULE
Pleasant Valley GSA|Pleasant Valley,gsa,SAN JOAQUIN VALLEY - PLEASANT VALLEY
Porterville Irrigation District Groundwater Sustainability Agenc,gsa,SAN JOAQUIN VALLEY - TULE
Reclamation District No. 1001 GSA|Reclamation District No. 1001,gsa,SACRAMENTO VALLEY - NORTH AMERICAN
Reclamation District No. 1002 GSA|Reclamation District No. 1002,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
Reclamation District No. 1004 GSA|Reclamation District No. 1004|Reclamation District No. 1004 GSA - Butte 1|Reclamation District No. 1004 GSA - Butte 2|Reclamation District No. 1004 GSA - Colusa,gsa,SACRAMENTO VALLEY - BUTTE; SACRAMENTO VALLEY - COLUSA
Reclamation District No. 1500 GSA|Reclamation District No. 1500,gsa,SACRAMENTO VALLEY - SUTTER
Reclamation District No. 1660 GSA|Reclamation District No. 1660,gsa,SACRAMENTO VALLEY - SUTTER
Reclamation District No. 2106 GSA|Reclamation District No. 2106,gsa,SACRAMENTO VALLEY - BUTTE
Reclamation District No. 2110 GSA|Reclamation District No. 2110,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
Reclamation District No. 349 GSA|Reclamation District No. 349,gsa,SACRAMENTO VALLEY - SOLANO
Reclamation District No. 369 GSA|Reclamation District No. 369,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
Reclamation District No. 501 GSA|Reclamation District No. 501,gsa,SACRAMENTO VALLEY - SOLANO
Reclamation District No. 551 GSA|Reclamation District No. 551,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
Reclamation District No. 70 GSA|Reclamation District No. 70,gsa,SACRAMENTO VALLEY - SUTTER
Reclamation District No. 744 GSA|Reclamation District No. 744,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
Reclamation District No. 813 GSA|Reclamation District No. 813,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
Richvale Irrigation District GSA|Richvale Irrigation District,gsa,SACRAMENTO VALLEY - BUTTE
Rock Creek Reclamation District GSA|Rock Creek Reclamation District,gsa,SACRAMENTO VALLEY - VINA
Root Creek Water District GSA|Root Creek Water District,gsa,SAN JOAQUIN VALLEY - MADERA
Rosedale-Rio Bravo Water Storage District GSA|Rosedale-Rio Bravo Water Storage District,gsa,SAN JOAQUIN VALLEY - KERN COUNTY
Sacramento Central Groundwater Authority GSA|Sacramento Central Groundwater Authority|Sacramento Central Groundwater Authority GSA - 1,gsa,SACRAMENTO VALLEY - SOUTH AMERICAN
Sacramento County GSA|Sacramento County|Sacramento County GSA - Cosumnes|Sacramento County GSA - Solano,gsa,SACRAMENTO VALLEY - SOLANO; SAN JOAQUIN VALLEY - COSUMNES
Sacramento Groundwater Authority GSA|Sacramento Groundwater Authority,gsa,SACRAMENTO VALLEY - NORTH AMERICAN
Salinas Valley Basin GSA|Salinas Valley Basin|Salinas Valley Basin GSA - 180/400 Foot Aquifer|Salinas Valley Basin GSA - East Side Aquifer|Salinas Valley Basin GSA - Forebay Aquifer|Salinas Valley Basin GSA - Langley Area|Salinas Valley Basin GSA - Monterey|Salinas Valley Basin GSA - Upper Valley Aquifer,gsa,SALINAS VALLEY - 180/400 FOOT AQUIFER; SALINAS VALLEY - EAST SIDE AQUIFER; SALINAS VALLEY - FOREBAY AQUIFER; SALINAS VALLEY - LANGLEY AREA; SALINAS VALLEY - MONTEREY; SALINAS VALLEY - UPPER VALLEY AQUIFER
San Antonio Basin GSA|San Antonio Basin,gsa,SAN ANTONIO CREEK VALLEY
San Benito County Water District GSA|San Benito County Water District,gsa,GILROY-HOLLISTER VALLEY - NORTH SAN BENITO
San Diego River Valley GSA|San Diego River Valley,gsa,SAN DIEGO RIVER VALLEY
San Francisco Public Utilities Commission GSA|San Francisco Public Utilities Commission|San Francisco Public Utilities Commission GSA - Downtown|San Francisco Public Utilities Commission GSA - Islais Valley|San Francisco Public Utilities Commission GSA - Lobos|San Francisco Public Utilities Commission GSA - Marina|San Francisco Public Utilities Commission GSA - South San Franci|San Francisco Public Utilities Commission GSA - Visitacion Valle|San Francisco Public Utilities Commission GSA - Westside,gsa,DOWNTOWN; ISLAIS VALLEY; LOBOS; MARINA; SOUTH SAN FRANCISCO; VISITACION VALLEY; WESTSIDE
San Gorgonio Pass GSA|San Gorgonio Pass,gsa,COACHELLA VALLEY - SAN GORGONIO PASS
San Joaquin River Exchange Contractors GSA|San Joaquin River Exchange Contractors,gsa,SAN JOAQUIN VALLEY - DELTA-MENDOTA
San Miguel Community Services District GSA|San Miguel Community Services District,gsa,SALINAS VALLEY - PASO ROBLES AREA
San Pasqual Valley GSA|San Pasqual Valley,gsa,SAN PASQUAL VALLEY
San Timoteo Subbasin GSA|San Timoteo Subbasin,gsa,UPPER SANTA ANA VALLEY - SAN TIMOTEO
Santa Clara Valley Water District GSA|Santa Clara Valley Water District|Santa Clara Valley Water District GSA - Llagas Area|Santa Clara Valley Water District GSA - North San Benito|Santa Clara Valley Water District GSA - Santa Clara,gsa,GILROY-HOLLISTER VALLEY - LLAGAS AREA; GILROY-HOLLISTER VALLEY - NORTH SAN BENITO; SANTA CLARA VALLEY - SANTA CLARA
Santa Clarita Valley GSA|Santa Clarita Valley,gsa,SANTA CLARA RIVER VALLEY - SANTA CLARA RIVER VALLEY EAST
Santa Cruz Mid-County Groundwater Agency GSA|Santa Cruz Mid-County Groundwater Agency,gsa,SANTA CRUZ MID-COUNTY
Santa Margarita Groundwater Agency GSA|Santa Margarita Groundwater Agency,gsa,SANTA MARGARITA
Santa Monica Basin GSA|Santa Monica Basin,gsa,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA
