State,Agency,Abbr
federal,Barry_M_Goldwater_Scholarship_and_Excellence_in_Education_Program,
California,Biodiversity_Council,
California,Board_of_Accountancy,
California,Board_of_Barbering_and_Cosmetology,
California,Board_of_Behavioral_Sciences,
California,Board_of_Chiropractic_Examiners,
California,Board_of_Equalization,
California,Board_of_Forestry_and_Fire_Protection,
California,Board_of_Occupational_Therapy,
California,Board_of_Parole_Hearings,
California,Board_of_Psychology,
California,Board_of_Registered_Nursing,
California,Board_of_Vocational_Nursing_and_Psychiatric_Technicians,
California,Boating_and_Waterways_Commission,
federal,Bonneville_Power_Administration,
federal,Botanic_Garden,
California,Building_Standards_Commission,
California,Bureau_for_Private_and_Postsecondary_Education,
California,Bureau_of_Automotive_Repair,
California,Bureau_of_Cannabis_Control,
federal,Bureau_of_Consular_Affairs,
federal,Bureau_of_Engraving_and_Printing,
federal,Bureau_of_Industry_and_Security,
federal,Bureau_of_International_Labor_Affairs,
federal,Bureau_of_Prisons,
California,Bureau_of_Real_Estate_Appraisers,
California,Bureau_of_Security_and_Investigation_Services,
federal,Bureau_of_Transportation_Statistics,
federal,Bureau_of_the_Fiscal_Service,
California,Cannabis_Control_Appeals_Panel,
federal,Capitol_Police,
federal,Capitol_Visitor_Center,
California,Cemetery_and_Funeral_Bureau,
federal,Central_Command,
federal,Circuit_Courts_of_Appeal,
federal,Citizens'_Stamp_Advisory_Committee,
California,Citizens_Compensation_Commission,
California,Citizens_Redistricting_Commission,
California,Coachella_Valley_Mountains_Conservancy,
California,Coastal_Commission,
federal,College_of_Information_and_Cyberspace,
California,Colorado_River_Board_of_California,
federal,Commission_of_Fine_Arts,
California,Commission_on_Aging,
federal,Commission_on_Civil_Rights,
California,Commission_on_Disability_Access,
California,Commission_on_Judicial_Performance,
California,Commission_on_Peace_Officer_Standards_and_Training,
California,Commission_on_State_Mandates,
California,Commission_on_Status_of_Women_and_Girls,
California,Commission_on_Teacher_Credentialing,
federal,Committee_for_the_Implementation_of_Textile_Agreements,
California,Community_Colleges,
federal,Community_Planning_and_Development,
federal,Congressional_Research_Service,
federal,Congress—US_House_of_Representatives,
federal,Congress—US_Senate,
California,Conservation_Corps,
California,Consumer_Services_and_Housing_Agency_California_Business,
California,Contractors_State_License_Board,
California,Cool_California,
federal,Corps_of_Engineers,
federal,Council_of_Economic_Advisers,
California,Court_Reporters_Board_of_California,
federal,Court_of_Appeals_for_Veterans_Claims,
federal,Court_of_Appeals_for_the_Armed_Forces,
federal,Court_of_Appeals_for_the_Federal_Circuit,
federal,Court_of_Federal_Claims,
federal,Court_of_International_Trade,
California,Courts,
federal,Courts_of_Appeal,
federal,Cybersecurity_and_Infrastructure_Security_Agency,
federal,Debt_and_Claims_Management_Center,
California,Debt_and_Investment_Advisory_Commission,
federal,Defense_Commissary_Agency,
federal,Defense_Finance_and_Accounting_Service,
federal,Defense_Finance_and_Accounting_Service_Debt_and_Claims_Management_Center,
federal,Defense_Health_Agency,
federal,Defense_Intelligence_Agency,
federal,Defense_Logistics_Agency,
federal,Defense_Security_Cooperation_Agency,
California,Delta_Protection_Commission,
federal,Delta_Regional_Authority,
California,Delta_Stewardship_Council,
federal,Denali_Commission,
California,Dental_Board_of_California,
California,Department_of_Aging,
California,Department_of_Alcoholic_Beverage_Control,
