_id,ID,CREATE DATE,Status,Shortage Type,Primary Usages,Household Support,Water Issues,Approximate Issue Start Date,County,CITY,LATITUDE,LONGITUDE,Well Depth,Was Issue Resolved?,Approximate Repair Cost,Additional Info,Well to Water Depth,Measure Date,Pump Rate Reduction,Report Date,StatusType,Region
92,128,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",03/12/2014,Tuolumne,SONORA,37.8749978,-120.2976867,,"Yes, drilled replacement well
",,,,,,2014-12-02T00:00:00,Resolved,Inland
93,129,12/03/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/13/2014,Tuolumne,SONORA,38.00086,-120.318327,,"Yes, deepened the well
",,,,,,2014-12-03T00:00:00,Resolved,Inland
94,130,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/14/2014,Tuolumne,JAMESTOWN,38.002872,-120.407762,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
95,131,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,TWAIN HARTE,38.0171251,-120.2179553,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
96,132,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,SONORA,38.007687,-120.401819,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
97,133,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",01/10/2014,Tuolumne,SONORA,38.008682,-120.295882,,"Yes, drilled replacement well
",462.0,,,,,2014-12-02T00:00:00,Resolved,Inland
98,134,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,COLUMBIA,38.015126,-120.385952,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
99,135,12/03/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",11/25/2014,Tuolumne,SOULSBYVILLE,38.0451639,-120.2069874,,"No, on drilling wait list
",,,,,,2014-12-03T00:00:00,Outage,Inland
100,136,12/02/2014,Outage,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",10/24/2014,Tuolumne,MI WUK,38.069221,-120.188298,,"No, on drilling wait list
",,,,,,2014-12-02T00:00:00,Outage,Inland
101,137,12/02/2014,Resolved,Dry well (groundwater),Household,owner-occupied,"Well is dry (no longer producing water)
",01/10/2014,Tuolumne,SONORA,38.0098136,-120.2729064,,"Yes, drilled replacement well
",,,,,,2014-12-02T00:00:00,Resolved,Inland
