gsp_doc_id,gsp_id,canonical_gsp_id,version,plan_section,submitted_date,from_gsp_id,gsa_ids,gsa_names,basin,out_basename,doc_rank
7787,0112,112,1,original,01/28/2022,,"114,121,320,239,321,136,119,264,218",Sutter Community Service District GSA;Sutter Extension Water District GSA;Reclamation District No. 70 GSA;Reclamation District No. 1500 GSA;Reclamation District No. 1660 GSA;City of Live Oak GSA;Butte Water District GSA - Sutter;City of Yuba City GSA;County of Sutter GSA - Sutter,5-021.62 SUTTER,gsp_doc_id_7787.pdf,1
6290,0113,113,1,original,01/24/2022,,268,Salinas Valley Basin GSA - Langley Area,3-004.09 LANGLEY AREA,gsp_doc_id_6290.pdf,1
6533,0114,114,1,original,01/24/2022,,460,Salinas Valley Basin GSA - East Side Aquifer,3-004.02 EAST SIDE AQUIFER,gsp_doc_id_6533.pdf,1
6260,0115,115,1,original,01/24/2022,,459,Salinas Valley Basin GSA - Upper Valley Aquifer,3-004.05 UPPER VALLEY AQUIFER,gsp_doc_id_6260.pdf,1
6527,0116,116,1,original,01/24/2022,,"261,462",Arroyo Seco GSA - 1;Salinas Valley Basin GSA - Forebay Aquifer,3-004.04 FOREBAY AQUIFER,gsp_doc_id_6527.pdf,1
7741,0117,117,1,original,01/27/2022,,"180,272,340,384,385,497",Solano Irrigation District GSA;City of Vacaville GSA;Solano Subbasin GSA;Reclamation District No. 501 GSA;Reclamation District No. 349 GSA;Sacramento County GSA - Solano,5-021.66 SOLANO,gsp_doc_id_7741.pdf,1
6428,0118,118,1,original,01/26/2022,,"336,329",County of San Luis Obispo GSA - San Luis Obispo Valley;City of San Luis Obispo GSA,3-009 SAN LUIS OBISPO VALLEY,gsp_doc_id_6428.pdf,1
7521,0119,119,1,original,01/26/2022,,21,Elsinore Valley GSA,8-004.01 ELSINORE VALLEY,gsp_doc_id_7521.pdf,1
6617,0120,120,1,original,01/25/2022,,"259,289,265,252,224,299,463",County of Contra Costa GSA;Diablo Water District GSA;Discovery Bay Community Services District GSA;East Contra Costa Irrigation District GSA;City of Brentwood GSA;City of Antioch GSA;Byron-Bethany Irrigation District GSA - East Contra Costa,5-022.19 EAST CONTRA COSTA,gsp_doc_id_6617.pdf,1
6097,0121,121,1,original,01/25/2022,,"330,262,450",Verbenia GSA;San Gorgonio Pass GSA;Desert Water Agency GSA - Statutory Area - San Gorgonio Pass,7-021.04 SAN GORGONIO PASS,gsp_doc_id_6097.pdf,1
7514,0122,122,1,original,01/28/2022,,"157,183,149,286,343,146",City of Tracy GSA;City of Lathrop GSA;Banta-Carbona Irrigation District GSA;Byron-Bethany Irrigation District GSA - Tracy;Stewart Tract GSA;County of San Joaquin GSA - Tracy,5-022.15 TRACY,gsp_doc_id_7514.pdf,1
