name,num_appearances_sum,num_appearances_mean,num_types,entity_type
mugu,96,32,1,NA
paso,96,24,1,NA
total_nitrogen_applied,96,14,1,NA
integrated_water_flow_model,95,2,1,Technical
john,95,32,1,NA
paso_robles_subbasin,95,48,1,Basin
san_jacinto_river,95,48,1,Natural_Feature
yihm,95,95,1,NA
camarillo,94,16,1,City
hueneme,94,47,1,NA
temescal_groundwater_sustainability_agency,94,94,1,Other_GSA
wyandotte_creek_subbasin,94,31,1,Basin
anderson,93,13,1,City
city_of_santa_cruz,93,46,1,City
community_services_district,93,6,1,District
irrigation_training_and_research_center,93,12,1,NA
na,93,10,1,NA
richmond,93,93,1,City
taylor,93,31,1,NA
