"name","num_appearances","num_gsps","mean_degree"
"hemet_south",18,1,7
"humboldt_county_department_of_public_works",18,1,10
"kearns_west",18,5,1
"kern_county_revision",18,4,4
"knight",18,2,4
"laguna_vineyard",18,3,2
"lake_success",18,3,1
"list",18,8,2
"lompico_sandstone",18,1,5
"lompoc_upland",18,2,2
"mapes_ranch",18,1,4
"n_dissolved",18,1,1
"newhall_water_division",18,1,1
"niles",18,1,2
"north_bench",18,1,3
"north_cell",18,1,1
"om",18,5,2
"ormond_beach",18,1,2
"pdf",18,6,2
"ramboll",18,3,2
"rinconada_fault",18,1,9
"russian_river_flood_control",18,1,5
"sacramento_water_forum",18,2,2
"san_emigdio",18,4,2
"scalmanini_engineering",18,1,9
"southern_division",18,2,4
"steffens",18,4,1
"toxicity_identification_evaluations",18,6,1
"tx",18,2,1
"water_level_elevation",18,2,1
"ag_res",17,1,1
"agricultural_stakeholder",17,2,2
"alameda_island",17,1,2
"arlington",17,1,1
"assembly",17,10,1
"assembly_bill_3030",17,14,1
"b",17,6,2
"bcid",17,1,4
"cloverdale_canyon",17,1,1
"coordination_committee_and_plan_manager",17,6,1
"county_of",17,11,2
"elsinore_ma",17,1,6
"for",17,10,1
"hanson_et_al",17,4,2
"human_right_to_water_and_the_public_trust_doctrine",17,16,1
"irrigation_training_and_research_center_metric",17,1,5
"john_ayres",17,1,7
"ktwd",17,1,6
"la_sierra",17,2,3
"lost_river_improved_channel",17,1,3
"matti",17,2,3
"method_detection_limit",17,1,3
"miocene",17,9,1
"morales",17,1,3
"moreland",17,2,2
"mw98b",17,1,2
"nawqa",17,2,2
"newsom",17,7,1
"owhm",17,2,3
"pre_tertiary",17,6,1
"rcc",17,1,2
"sarah_hardgrave",17,1,1
"scv",17,1,6
"state_department_of_water_resources",17,7,1
"strategy_implementation_strategy",17,2,3
"surface",17,10,2
"sutherland",17,1,1
"taw",17,2,1
"thiessen",17,3,2
"thomasson_1951",17,2,4
"town_of_windsor",17,2,2
"updated",17,5,1
"white_wolf_fault",17,4,2
"williamson",17,6,1
"a",16,9,1
"agmar",16,2,1
"andre_monette",16,1,1
"arundell_barranca",16,1,2
"bc",16,2,3
"below_narrows_account",16,3,2
"budget",16,6,2
"burow_et_al",16,2,1
"burt",16,4,1
"calam",16,4,1
"casa_loma_fault",16,1,6
"clemmens",16,4,1
"congress",16,8,1
"davis_et_al",16,4,1
"del_oro_water_company",16,3,1
"esa",16,4,2
"frank_konyn",16,1,4
"gc",16,1,1
"gsflow",16,1,3
"gws_water_budget",16,4,1
"interested_parties",16,3,2
"izbicki",16,3,1
"james",16,8,1
"kennedy_jenks",16,2,6
"kenneth_d_schmidt_and_associates",16,1,10
"klausmeyer_et_al",16,4,1
"krista_mutual_water_company",16,1,4
"los_osos_valley_road",16,1,1
"lpccc",16,1,3
"nuevo_water_company",16,1,1
"olmsted",16,3,1
"pauloo_et_al",16,2,3
"permittee",16,1,7
"purisima_aa",16,1,3
"purisima_hills",16,3,1
"qoa",16,4,2
"qya",16,7,2
"reduction_without_projects_scenario",16,3,3
"root_mean_square_error",16,2,2
"santa_monica_urban_runoff_recycling_facility",16,1,4
"santa_paula_c",16,2,1
"shrubland_groundwater_dependent_ecosystem_unit",16,2,1
"sierra_vista_mutual_water_company",16,1,5
"slofcwcd",16,2,3
"slr",16,1,1
"south_fork_kings",16,1,6
"srcd",16,1,8
"ssss",16,4,2
