name,org_type,core,gsp_id
groundwater_sustainability_plan,Loc_Gov,1,0139
tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_los_molinos,GSA,1,0139
groundwater_sustainability_plan,Loc_Gov,1,0140
tehama_county_flood_control_and_water_conservation_district_groundwater_sustainability_agency_red_bluff,GSA,1,0140
groundwater_sustainability_plan,Loc_Gov,1,0144
arlington_basin,GPE,1,0144
western_municipal_water_district_groundwater_sustainability_agency_riverside_arlington,GSA,1,0144
sustainable_groundwater_management_act,CA_Gov,1,0144
santa_ana_river,GPE,1,0144
california,GPE,1,0144
groundwater_sustainability_plan,Loc_Gov,1,0145
subbasin,GPE,1,0145
pleasant_valley_groundwater_sustainability_agency,GSA,1,0145
department_of_water_resources,CA_Gov,1,0145
groundwater_sustainability_plan,Loc_Gov,1,0149
spadra_basin_groundwater_sustainability_agency,GSA,1,0149
groundwater_sustainability_plan,Loc_Gov,1,0150
department_of_water_resources,CA_Gov,1,0150
kern_groundwater_authority,NA,1,0150
groundwater_sustainability_agency,Loc_Gov,1,0150
wrmwsd,Spec_Dist,1,0150
arvin_edison_water_storage_district,Spec_Dist,1,0150
esri,NA,1,0150
basemap,PERSON,1,0150
montecito_groundwater_basin,GSA,1,0155
montecito_groundwater_sustainability_agency,NA,1,0155
groundwater_sustainability_plan,Loc_Gov,1,0156
fox_canyon_groundwater_management_agency,GSA,1,0156
camrosa,PERSON,1,0156
department_of_water_resources,CA_Gov,1,0156
sustainable_groundwater_management_act,CA_Gov,1,0156
arroyo_santa_rosa_groundwater_sustainability_agency,GSA,1,0156
