GSP_ID,NAME20,GEOID20,Basin_Subb
140,las_flores,640536,5-021.50
140,los_molinos,644140,5-021.50
140,proberta,658814,5-021.50
140,rancho_tehama_reserve,659604,5-021.50
140,richfield,660592,5-021.50
144,chino_hills,613214,8-002.03
144,chino,613210,8-002.03
144,perris,656700,8-002.03
144,ontario,653896,8-002.03
144,eastvale,621230,8-002.03
144,fontana,624680,8-002.03
144,murrieta,650076,8-002.03
144,colton,614890,8-002.03
144,riverside,662000,8-002.03
144,moreno_valley,649270,8-002.03
144,corona,616350,8-002.03
144,lake_elsinore,639486,8-002.03
144,norco,651560,8-002.03
144,menifee,646842,8-002.03
144,wildomar,685446,8-002.03
144,canyon_lake,610928,8-002.03
144,temecula,678120,8-002.03
144,jurupa_valley,637692,8-002.03
144,coronita,616420,8-002.03
144,el_cerrito,621810,8-002.03
144,el_sobrante,622457,8-002.03
144,good_hope,630410,8-002.03
144,highgrove,633574,8-002.03
144,home_gardens,634302,8-002.03
144,lakeland_village,639598,8-002.03
144,lake_mathews,639645,8-002.03
144,march_arb,645680,8-002.03
144,meadowbrook,646520,8-002.03
144,mead_valley,646646,8-002.03
144,rainbow,659248,8-002.03
144,temescal_valley,678138,8-002.03
144,warm_springs,683460,8-002.03
144,woodcrest,686244,8-002.03
145,coalinga,614274,5-022.10
149,san_dimas,666070,4-013
149,pomona,658072,4-013
149,industry,636490,4-013
149,diamond_bar,619192,4-013
150,bakersfield,603526,5-022.14
150,arvin,602924,5-022.14
150,taft,677574,5-022.14
150,bear_valley_springs,604734,5-022.14
150,di_giorgio,619248,5-022.14
150,east_niles,620903,5-022.14
150,edison,621544,5-022.14
150,edmundson_acres,621558,5-022.14
150,fuller_acres,627190,5-022.14
150,hillcrest,633689,5-022.14
150,keene,637946,5-022.14
150,lamont,640088,5-022.14
150,mettler,647164,5-022.14
150,potomac_park,658471,5-022.14
150,tarina,677934,5-022.14
150,weedpatch,683863,5-022.14
155,santa_barbara,669070,3-049
155,montecito,648844,3-049
155,summerland,675714,3-049
155,toro_canyon,679529,3-049
156,thousand_oaks,678582,4-007
156,santa_rosa_valley,670130,4-007
157,carpinteria,611446,3-018
157,toro_canyon,679529,3-018
